2023-12-30 22:12:572 INFO  ProductPage :104 - Getting Text from : [[ChromeDriver: chrome on windows (f518f059af308499e4ded1c917678588)] -> xpath: //h2[normalize-space()='All Products']]
2023-12-30 22:12:652 INFO  ProductPage :109 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (f518f059af308499e4ded1c917678588)] -> xpath: (//a[contains(text(),'View Product')])[1]]
2023-12-30 22:12:728 INFO  ProductPage :172 - Getting Text from : Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Blue Top']'
2023-12-30 22:12:622 INFO  HomePage :237 - Clicking on Women Category : [[ChromeDriver: chrome on windows (90e3885cd947da34908e1e09044ae59d)] -> xpath: //a[normalize-space()='Women']]
2023-12-30 22:12:839 INFO  HomePage :247 - Clicking on Dress Category : [[ChromeDriver: chrome on windows (90e3885cd947da34908e1e09044ae59d)] -> xpath: //div[@id='Women']//a[contains(text(),'Dress')]]
2023-12-30 22:12:275 INFO  HomePage :257 - Getting text from : [[ChromeDriver: chrome on windows (90e3885cd947da34908e1e09044ae59d)] -> xpath: //h2[normalize-space()='Women - Dress Products']]
2023-12-30 22:12:373 INFO  HomePage :242 - Clicking on Men Category : [[ChromeDriver: chrome on windows (90e3885cd947da34908e1e09044ae59d)] -> xpath: //a[normalize-space()='Men']]
2023-12-30 22:12:705 INFO  HomePage :252 - Clicking on Jeans Category : [[ChromeDriver: chrome on windows (90e3885cd947da34908e1e09044ae59d)] -> xpath: //a[normalize-space()='Jeans']]
2023-12-30 22:12:645 INFO  HomePage :262 - Getting text from : [[ChromeDriver: chrome on windows (90e3885cd947da34908e1e09044ae59d)] -> xpath: //h2[normalize-space()='Men - Jeans Products']]
2023-12-30 22:12:20 INFO  HomePage :209 - CLicking on [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li] header menu : [[[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-30 22:12:61 INFO  ContactUsPage :50 - Getting text Get In Touch from : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //h2[normalize-space()='Get In Touch']]
2023-12-30 22:12:97 INFO  ContactUsPage :55 - Entering name into : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> name: name]
2023-12-30 22:12:258 INFO  ContactUsPage :60 - Entering email Id into : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> name: email]
2023-12-30 22:12:600 INFO  ContactUsPage :65 - Entering Subject into : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //input[@placeholder='Subject']]
2023-12-30 22:12:775 INFO  ContactUsPage :70 - Entering Message into : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> id: message]
2023-12-30 22:12:25 INFO  ContactUsPage :75 - Uploading file into : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //input[@name='upload_file']]
2023-12-30 22:12:95 INFO  ContactUsPage :85 - Clicking on Submit button : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> name: submit]
2023-12-30 22:12:190 INFO  ContactUsPage :95 - Accepting the alert : 
2023-12-30 22:12:238 INFO  ContactUsPage :89 - Getting text Success from : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //div[@class='status alert alert-success']]
2023-12-30 22:12:291 INFO  ContactUsPage :80 - Clicking on Home Button : [[ChromeDriver: chrome on windows (ebf2229a8d6e3e8e8da2c5705edc531d)] -> xpath: //span[normalize-space()='Home']]
